gene_name	cell_type
A2M	Astrocyte
AASS	Astrocyte
ABHD3	Astrocyte
ACOT11	Astrocyte
ACSL6	Astrocyte
AGPAT5	Astrocyte
AGT	Astrocyte
KIAA1161	Astrocyte
AKT2	Astrocyte
ALDH1L1	Astrocyte
ALDH6A1	Astrocyte
AOX1	Astrocyte
AQP4	Astrocyte
AQP9	Astrocyte
BTBD17	Astrocyte
CBS	Astrocyte
LOC102724560	Astrocyte
CHRDL1	Astrocyte
CHST2	Astrocyte
CIDEB	Astrocyte
CLU	Astrocyte
CTH	Astrocyte
CYP4F12	Astrocyte
CYP4F8	Astrocyte
CYP7B1	Astrocyte
DDHD1	Astrocyte
DDO	Astrocyte
DHRS11	Astrocyte
DIO2	Astrocyte
EGFL6	Astrocyte
EGFR	Astrocyte
ELMOD3	Astrocyte
ELOVL2	Astrocyte
ENTPD2	Astrocyte
FADS2	Astrocyte
FAM181B	Astrocyte
FGD6	Astrocyte
FGFR3	Astrocyte
FGFRL1	Astrocyte
FKBP10	Astrocyte
FZD2	Astrocyte
FZD7	Astrocyte
GAS1	Astrocyte
GDF10	Astrocyte
GFAP	Astrocyte
GLDC	Astrocyte
GLIPR2	Astrocyte
GRAMD3	Astrocyte
GSTM3	Astrocyte
HOPX	Astrocyte
ID4	Astrocyte
ITGA7	Astrocyte
KCTD14	Astrocyte
KLF15	Astrocyte
LFNG	Astrocyte
LIX1	Astrocyte
MLC1	Astrocyte
NAAA	Astrocyte
NAT2	Astrocyte
NAT8	Astrocyte
NDP	Astrocyte
NRARP	Astrocyte
OAF	Astrocyte
PAPSS2	Astrocyte
PAX6	Astrocyte
PCSK6	Astrocyte
PDK4	Astrocyte
PHKG1	Astrocyte
PRDX6	Astrocyte
PXMP2	Astrocyte
RETSAT	Astrocyte
RFX2	Astrocyte
RPE65	Astrocyte
SCARA3	Astrocyte
SDSL	Astrocyte
SEMA4B	Astrocyte
SLC12A4	Astrocyte
SLC14A1	Astrocyte
SLC22A4	Astrocyte
SLC27A1	Astrocyte
SLC7A10	Astrocyte
SMIM3	Astrocyte
SOX21	Astrocyte
SOX9	Astrocyte
ST3GAL4	Astrocyte
TEKT1	Astrocyte
TMEM51	Astrocyte
TST	Astrocyte
TTPA	Astrocyte
TTYH1	Astrocyte
UCP3	Astrocyte
UGP2	Astrocyte
UPP1	Astrocyte
VIT	Astrocyte
VNN1	Astrocyte
WNT7B	Astrocyte
ZIC5	Astrocyte
C16orf74	Astrocyte
C19orf38	Astrocyte
ACAT2	Astrocyte
ACSL3	Astrocyte
ALPK1	Astrocyte
ARHGEF26	Astrocyte
ATP13A4	Astrocyte
BDH2	Astrocyte
BMPR1B	Astrocyte
CHP2	Astrocyte
DMP1	Astrocyte
DOK7	Astrocyte
EMX2	Astrocyte
EPO	Astrocyte
EPX	Astrocyte
ETNPPL	Astrocyte
EXD1	Astrocyte
F2RL3	Astrocyte
FAM181A	Astrocyte
FAM198A	Astrocyte
FAM20A	Astrocyte
FAM69C	Astrocyte
FLT3LG	Astrocyte
GLI3	Astrocyte
LOC100652824	Astrocyte
HIST1H2BH	Astrocyte
HIST1H2BH	Astrocyte
HIST1H3C	Astrocyte
KIRREL2	Astrocyte
LGR4	Astrocyte
LONRF3	Astrocyte
LPIN3	Astrocyte
METTL11B	Astrocyte
NPHP3	Astrocyte
NR2E1	Astrocyte
NWD1	Astrocyte
OR10AD1	Astrocyte
OR10AD1	Astrocyte
OR7A5	Astrocyte
OTX1	Astrocyte
PAQR8	Astrocyte
PLCD4	Astrocyte
PLXNB1	Astrocyte
PPIL6	Astrocyte
PRR5	Astrocyte
PSD2	Astrocyte
SCTR	Astrocyte
SFXN5	Astrocyte
SHPK	Astrocyte
SLC25A18	Astrocyte
SLC39A12	Astrocyte
SLC6A11	Astrocyte
SLCO1B3	Astrocyte
CCDC169-SOHLH2	Astrocyte
STAG3	Astrocyte
SUGCT	Astrocyte
SYCP2	Astrocyte
SYDE2	Astrocyte
TAF4B	Astrocyte
TEX11	Astrocyte
TMEM52	Astrocyte
TP63	Astrocyte
UGT1A3	Astrocyte
UGT1A6	Astrocyte
ZNRF3	Astrocyte
C2orf72	Astrocyte
ACAA2	Astrocyte
ACSBG1	Astrocyte
ADD3	Astrocyte
ADHFE1	Astrocyte
AGL	Astrocyte
APPL2	Astrocyte
ATP1B2	Astrocyte
CD44	Astrocyte
CLDN10	Astrocyte
CROT	Astrocyte
DENND4C	Astrocyte
DTNA	Astrocyte
ELOVL5	Astrocyte
EVA1A	Astrocyte
EZR	Astrocyte
F3	Astrocyte
FJX1	Astrocyte
FMO1	Astrocyte
FXYD1	Astrocyte
GABRG1	Astrocyte
GLI2	Astrocyte
GLUD1	Astrocyte
GPAM	Astrocyte
GPLD1	Astrocyte
GRIN2C	Astrocyte
GSTM5	Astrocyte
HAPLN1	Astrocyte
HSD11B1	Astrocyte
IGDCC4	Astrocyte
LCAT	Astrocyte
LGI4	Astrocyte
LHX2	Astrocyte
LPP	Astrocyte
MFGE8	Astrocyte
MMP14	Astrocyte
NDRG2	Astrocyte
NTRK2	Astrocyte
NTSR2	Astrocyte
OPLAH	Astrocyte
PHKA1	Astrocyte
PLA2G7	Astrocyte
PPARA	Astrocyte
PPP1R3C	Astrocyte
PRKD1	Astrocyte
LOC102724788	Astrocyte
PRODH	Astrocyte
PTCH1	Astrocyte
PYGB	Astrocyte
RFTN2	Astrocyte
RHBDF1	Astrocyte
S1PR1	Astrocyte
SASH1	Astrocyte
SDC4	Astrocyte
SERHL2	Astrocyte
SLC15A2	Astrocyte
SLC1A2	Astrocyte
SLC1A3	Astrocyte
SLC38A3	Astrocyte
SLC41A1	Astrocyte
SLC4A4	Astrocyte
SLCO1C1	Astrocyte
SMPD2	Astrocyte
SMPDL3A	Astrocyte
SOAT1	Astrocyte
SORCS2	Astrocyte
TFCP2L1	Astrocyte
TLCD1	Astrocyte
TMEM47	Astrocyte
TRIL	Astrocyte
TRPS1	Astrocyte
VAV3	Astrocyte
VCAM1	Astrocyte
KIAA0040	Endothelial
ABCB1	Endothelial
ACVRL1	Endothelial
AHNAK	Endothelial
AMOTL2	Endothelial
ANGPTL2	Endothelial
APOLD1	Endothelial
ARHGAP29	Endothelial
ARHGAP6	Endothelial
ATG4A	Endothelial
ATP10A	Endothelial
C16orf89	Endothelial
BCL2L12	Endothelial
CAST	Endothelial
CCL19	Endothelial
CD40	Endothelial
CD93	Endothelial
CDH5	Endothelial
CGNL1	Endothelial
CLDN5	Endothelial
CLEC14A	Endothelial
CLIC5	Endothelial
COL4A1	Endothelial
COL4A3	Endothelial
CRIP1	Endothelial
DEGS2	Endothelial
DENND3	Endothelial
DOCK6	Endothelial
ECM1	Endothelial
EDN1	Endothelial
EGFL7	Endothelial
EGFLAM	Endothelial
EMCN	Endothelial
EMP1	Endothelial
ENG	Endothelial
EPHB4	Endothelial
ESAM	Endothelial
ESYT1	Endothelial
FGD5	Endothelial
FLT1	Endothelial
FLT4	Endothelial
FN1	Endothelial
FOXC1	Endothelial
FOXQ1	Endothelial
FXYD5	Endothelial
FZD6	Endothelial
GATA2	Endothelial
GBP6	Endothelial
GIMAP1-GIMAP5	Endothelial
GJC1	Endothelial
GPR182	Endothelial
GSTM1	Endothelial
GSTT2	Endothelial
GSTT2B	Endothelial
HMGB2	Endothelial
HMGCS2	Endothelial
HSPB1	Endothelial
ICAM2	Endothelial
IFI44	Endothelial
IGFBP7	Endothelial
IL1R1	Endothelial
IL2RG	Endothelial
IQGAP1	Endothelial
IRGM	Endothelial
ITGA1	Endothelial
ITIH5	Endothelial
KANK3	Endothelial
KDR	Endothelial
KLF2	Endothelial
LAMB2	Endothelial
LATS2	Endothelial
LAYN	Endothelial
LEF1	Endothelial
LSR	Endothelial
LTBP4	Endothelial
MECOM	Endothelial
MMRN2	Endothelial
MYCT1	Endothelial
MYL12B	Endothelial
NID1	Endothelial
NID2	Endothelial
NOD1	Endothelial
NOSTRIN	Endothelial
NXN	Endothelial
OCLN	Endothelial
OSMR	Endothelial
PAQR5	Endothelial
PDGFD	Endothelial
PDGFRB	Endothelial
PECAM1	Endothelial
PGLYRP1	Endothelial
PLSCR4	Endothelial
PLTP	Endothelial
PPIC	Endothelial
PROM1	Endothelial
PTPRB	Endothelial
RASSF9	Endothelial
RBMS2	Endothelial
RBPMS	Endothelial
RET	Endothelial
RHOJ	Endothelial
ROBO4	Endothelial
SAMD9L	Endothelial
SGMS1	Endothelial
SHE	Endothelial
SIGIRR	Endothelial
SLC16A4	Endothelial
SLC19A3	Endothelial
SLC22A8	Endothelial
SLC2A1	Endothelial
SLC35F2	Endothelial
SLC38A5	Endothelial
SLC52A3	Endothelial
SLC6A6	Endothelial
SLC9A3R2	Endothelial
SMAGP	Endothelial
SOX13	Endothelial
SOX7	Endothelial
SPC25	Endothelial
ST6GALNAC2	Endothelial
ST8SIA6	Endothelial
STOM	Endothelial
TBX3	Endothelial
TEK	Endothelial
TGFBR3	Endothelial
THBD	Endothelial
TINAGL1	Endothelial
TM4SF1	Endothelial
TMEM123	Endothelial
TMEM252	Endothelial
TNS1	Endothelial
TRIM6-TRIM34	Endothelial
UACA	Endothelial
UNC45B	Endothelial
UTRN	Endothelial
VAMP5	Endothelial
VTN	Endothelial
VWF	Endothelial
WWTR1	Endothelial
XDH	Endothelial
ZBTB46	Endothelial
ZIC3	Endothelial
C15orf39	Microglia
KIAA2013	Microglia
ADAM17	Microglia
ALOX5AP	Microglia
APOBEC1	Microglia
BTG2	Microglia
C1QC	Microglia
C3AR1	Microglia
CABLES1	Microglia
CCL3L3	Microglia
CD37	Microglia
CD80	Microglia
CHD7	Microglia
CHST14	Microglia
CLEC5A	Microglia
CREG1	Microglia
CRYBB1	Microglia
CTSA	Microglia
CTSS	Microglia
CYSLTR1	Microglia
DOCK2	Microglia
DOK3	Microglia
DUSP1	Microglia
EBI3	Microglia
EPSTI1	Microglia
ERAP1	Microglia
F9	Microglia
FCGR1A	Microglia
FCRL1	Microglia
FERMT3	Microglia
FES	Microglia
FEZ2	Microglia
FYB	Microglia
GALNT10	Microglia
GCNT1	Microglia
GMFG	Microglia
GMIP	Microglia
GNS	Microglia
GP9	Microglia
GPSM3	Microglia
GRN	Microglia
GUSB	Microglia
HLA-DMB	Microglia
HAVCR2	Microglia
HCLS1	Microglia
HCST	Microglia
HK2	Microglia
IER5	Microglia
IGSF6	Microglia
IL7R	Microglia
IRF5	Microglia
ITGAM	Microglia
ITGB2	Microglia
JUNB	Microglia
KLRD1	Microglia
LAG3	Microglia
LCP1	Microglia
LENG1	Microglia
LY86	Microglia
MLXIPL	Microglia
MRC1	Microglia
MYL2	Microglia
NCKAP1L	Microglia
NFKB1	Microglia
NLRP3	Microglia
NRM	Microglia
NTPCR	Microglia
PAG1	Microglia
PHYHD1	Microglia
PIK3CD	Microglia
PLCG2	Microglia
PLEKHO1	Microglia
PLXDC2	Microglia
PON3	Microglia
PPCDC	Microglia
PTGR1	Microglia
PTPRC	Microglia
RAB32	Microglia
RAB43	Microglia
RASSF5	Microglia
RGS1	Microglia
RIPK3	Microglia
RNF130	Microglia
SASH3	Microglia
SFXN2	Microglia
SH3TC1	Microglia
SKAP2	Microglia
SLC11A1	Microglia
SLC7A7	Microglia
SMAD7	Microglia
SPATA13	Microglia
SPG21	Microglia
SPI1	Microglia
SRGAP2	Microglia
SRRD	Microglia
STAB1	Microglia
STAT6	Microglia
TAP2	Microglia
TAPBP	Microglia
TBXAS1	Microglia
TLCD2	Microglia
TLR1	Microglia
TMEM106A	Microglia
TYROBP	Microglia
ZFP90	Microglia
C17orf99	Microglia
ADORA3	Microglia
CD300C	Microglia
ARHGAP22	Microglia
ARHGAP30	Microglia
C1RL	Microglia
C5AR2	Microglia
CARD9	Microglia
CCDC88B	Microglia
CMKLR1	Microglia
CRYBA1	Microglia
CYTH4	Microglia
DENND1C	Microglia
FRMD4A	Microglia
HIST1H4F	Microglia
C1orf162	Microglia
KNG1	Microglia
LRCH4	Microglia
LRRC34	Microglia
M1AP	Microglia
MGAT4A	Microglia
MYO18B	Microglia
NAGPA	Microglia
NLRP1	Microglia
PDE3B	Microglia
PHF11	Microglia
PSD4	Microglia
QRFP	Microglia
RAB19	Microglia
REEP4	Microglia
RNASE12	Microglia
RNASET2	Microglia
SH2D4B	Microglia
SLC24A1	Microglia
SOGA1	Microglia
TAGAP	Microglia
TEX12	Microglia
TNFAIP8L2	Microglia
UGT1A6	Microglia
USP50	Microglia
WASF2	Microglia
ZBTB37	Microglia
ZNF208	Microglia
ABHD15	Microglia
ADAP2	Microglia
AKNA	Microglia
ANKRD44	Microglia
ARRB2	Microglia
B2M	Microglia
CASP1	Microglia
CASP8	Microglia
CCRL2	Microglia
CD68	Microglia
CFH	Microglia
CKLF	Microglia
CLIC1	Microglia
CTSZ	Microglia
CTTNBP2NL	Microglia
CYBA	Microglia
DAPP1	Microglia
DNAJB1	Microglia
DUSP6	Microglia
EHD4	Microglia
ENTPD1	Microglia
F11R	Microglia
HLA-A	Microglia
HLA-DOA	Microglia
HERPUD1	Microglia
HPS4	Microglia
IER2	Microglia
IFNGR1	Microglia
IL13RA1	Microglia
IL21R	Microglia
IL6R	Microglia
KLF6	Microglia
LGALS9B	Microglia
LY96	Microglia
LYN	Microglia
MSN	Microglia
NAIP	Microglia
NRROS	Microglia
PDGFB	Microglia
PLA2G15	Microglia
PLA2G4A	Microglia
PPP1R15A	Microglia
PROS1	Microglia
PTGS1	Microglia
RBM39	Microglia
REL	Microglia
RGS19	Microglia
RIN2	Microglia
RNASE4	Microglia
SERINC3	Microglia
SIPA1	Microglia
TCN2	Microglia
TPST2	Microglia
TRPV2	Microglia
VWA5A	Microglia
ZFHX3	Microglia
PALD1	Microglia
TGFB1	Microglia
ADA	Oligo
ADAMTS4	Oligo
ADAMTSL4	Oligo
ANLN	Oligo
ASPA	Oligo
BPGM	Oligo
CHN2	Oligo
CLDN11	Oligo
CLDN14	Oligo
CTSK	Oligo
DBNDD2	Oligo
DESI1	Oligo
DOCK5	Oligo
EFHD1	Oligo
ELOVL7	Oligo
FBXO36	Oligo
FNBP1	Oligo
GJC2	Oligo
GSS	Oligo
HHIP	Oligo
IL17RB	Oligo
ITGB4	Oligo
JOSD2	Oligo
KAT2B	Oligo
KIF13A	Oligo
KLK6	Oligo
LRRC46	Oligo
MAG	Oligo
MBP	Oligo
MOB3B	Oligo
MOBP	Oligo
MYO1D	Oligo
MYRF	Oligo
NFE2L3	Oligo
NKAIN1	Oligo
NKX6-2	Oligo
PDE8A	Oligo
PEX5L	Oligo
PLEKHH1	Oligo
POLR3E	Oligo
PPP1R14A	Oligo
PRIMA1	Oligo
QDPR	Oligo
RFFL	Oligo
RNF13	Oligo
S1PR5	Oligo
SEPT4	Oligo
SGK2	Oligo
SLAIN1	Oligo
SLC12A2	Oligo
SLC44A1	Oligo
SLC48A1	Oligo
SLC6A9	Oligo
TALDO1	Oligo
TMEFF1	Oligo
TNNI1	Oligo
TPRN	Oligo
TRIM59	Oligo
WIPI1	Oligo
WRAP53	Oligo
C11orf65	Oligo
ADAMTSL1	Oligo
ADI1	Oligo
ADO	Oligo
ANKRD28	Oligo
ANO4	Oligo
ARRDC3	Oligo
CCDC13	Oligo
CCDC89	Oligo
CCP110	Oligo
CDC42EP2	Oligo
CEP97	Oligo
C10orf90	Oligo
DEFB130	Oligo
LOC100133267	Oligo
EML1	Oligo
ENPP6	Oligo
ERMN	Oligo
FAM83D	Oligo
GNG8	Oligo
GPR62	Oligo
GSTP1	Oligo
INSC	Oligo
KCTD13	Oligo
KIF13B	Oligo
KIF6	Oligo
KNDC1	Oligo
LGI3	Oligo
LY6G6F	Oligo
MAMDC4	Oligo
MAP6D1	Oligo
NIPAL4	Oligo
NMRAL1	Oligo
PIGZ	Oligo
PIK3C2B	Oligo
PKD2L1	Oligo
PLEKHG3	Oligo
PRR18	Oligo
PRR5L	Oligo
SEC14L5	Oligo
SLC26A11	Oligo
SP7	Oligo
SRD5A1	Oligo
ST18	Oligo
TMEM125	Oligo
TMEM88B	Oligo
WNT3	Oligo
XRCC3	Oligo
CARHSP1	Oligo
FA2H	Oligo
GAL3ST1	Oligo
GAMT	Oligo
GJB1	Oligo
GLTP	Oligo
GRB14	Oligo
GSN	Oligo
LPAR1	Oligo
MCAM	Oligo
MOG	Oligo
PDLIM2	Oligo
PHLDB1	Oligo
PLLP	Oligo
THBS3	Oligo
TMEM98	Oligo
TSPAN2	Oligo
UGT8	Oligo
HAPLN2	Oligo
ABTB2	OligoPrecursors
ADAM12	OligoPrecursors
ADAM9	OligoPrecursors
ADAMTS6	OligoPrecursors
ADAMTSL3	OligoPrecursors
AMIGO3	OligoPrecursors
AMPD3	OligoPrecursors
ANGPTL1	OligoPrecursors
AP5B1	OligoPrecursors
B3GNT5	OligoPrecursors
BMP4	OligoPrecursors
BMP7	OligoPrecursors
BOLL	OligoPrecursors
BRICD5	OligoPrecursors
BUB1	OligoPrecursors
C1QL1	OligoPrecursors
C1QL2	OligoPrecursors
C1QTNF6	OligoPrecursors
CAPN11	OligoPrecursors
CA8	OligoPrecursors
CASKIN2	OligoPrecursors
CATSPERD	OligoPrecursors
CCDC114	OligoPrecursors
CCL5	OligoPrecursors
CD70	OligoPrecursors
CDC14A	OligoPrecursors
CDC42EP5	OligoPrecursors
CDK2	OligoPrecursors
CDO1	OligoPrecursors
CEP41	OligoPrecursors
CERCAM	OligoPrecursors
CFTR	OligoPrecursors
CHAF1B	OligoPrecursors
CHST11	OligoPrecursors
CHST6	OligoPrecursors
COL9A3	OligoPrecursors
CPA4	OligoPrecursors
CPXM1	OligoPrecursors
CREB3L3	OligoPrecursors
CSPG5	OligoPrecursors
DERL3	OligoPrecursors
DLL1	OligoPrecursors
DNA2	OligoPrecursors
DPYD	OligoPrecursors
E2F8	OligoPrecursors
EMID1	OligoPrecursors
EPN2	OligoPrecursors
ERBB3	OligoPrecursors
EZH2	OligoPrecursors
FAM114A1	OligoPrecursors
FAM71F2	OligoPrecursors
FAM89A	OligoPrecursors
FBN2	OligoPrecursors
FDXR	OligoPrecursors
FIGNL1	OligoPrecursors
FOSB	OligoPrecursors
FRMD7	OligoPrecursors
FZD1	OligoPrecursors
FZD9	OligoPrecursors
GALNT3	OligoPrecursors
GFRA1	OligoPrecursors
GINS2	OligoPrecursors
GM2A	OligoPrecursors
GPR82	OligoPrecursors
GPT2	OligoPrecursors
HPS1	OligoPrecursors
HTRA3	OligoPrecursors
INHBC	OligoPrecursors
IQCJ	OligoPrecursors
ITGA9	OligoPrecursors
ITGB8	OligoPrecursors
KCNH8	OligoPrecursors
KLHL5	OligoPrecursors
KRT17	OligoPrecursors
LAD1	OligoPrecursors
LGALS2	OligoPrecursors
LPO	OligoPrecursors
LY6G6D	OligoPrecursors
MAPK7	OligoPrecursors
MATN4	OligoPrecursors
MC5R	OligoPrecursors
MCM3	OligoPrecursors
MELK	OligoPrecursors
METRN	OligoPrecursors
MKRN3	OligoPrecursors
MYT1	OligoPrecursors
NCKAP5	OligoPrecursors
NCMAP	OligoPrecursors
NEIL3	OligoPrecursors
NEU4	OligoPrecursors
NKIRAS2	OligoPrecursors
NT5DC1	OligoPrecursors
NTN1	OligoPrecursors
ODF3L1	OligoPrecursors
OTOS	OligoPrecursors
PABPC4L	OligoPrecursors
PABPC5	OligoPrecursors
PCDH15	OligoPrecursors
PCDHGA5	OligoPrecursors
PCYOX1L	OligoPrecursors
PGPEP1	OligoPrecursors
PLEKHG6	OligoPrecursors
PLEKHO2	OligoPrecursors
PLXNA3	OligoPrecursors
PMEL	OligoPrecursors
POLD1	OligoPrecursors
PPP1R14B	OligoPrecursors
PXN	OligoPrecursors
RAB13	OligoPrecursors
RASSF8	OligoPrecursors
RGS9	OligoPrecursors
RHCG	OligoPrecursors
RNF180	OligoPrecursors
RNF43	OligoPrecursors
S100A3	OligoPrecursors
SEMA3D	OligoPrecursors
SFMBT2	OligoPrecursors
SFN	OligoPrecursors
SHC4	OligoPrecursors
SHMT1	OligoPrecursors
SLC13A5	OligoPrecursors
SLC25A29	OligoPrecursors
SLC2A12	OligoPrecursors
SLC35B2	OligoPrecursors
SLC5A11	OligoPrecursors
SLC6A19	OligoPrecursors
SLC7A2	OligoPrecursors
SLITRK6	OligoPrecursors
SMOC1	OligoPrecursors
SNCAIP	OligoPrecursors
SNX22	OligoPrecursors
SNX8	OligoPrecursors
SOX8	OligoPrecursors
SPSB4	OligoPrecursors
SREBF1	OligoPrecursors
STK32A	OligoPrecursors
SVIL	OligoPrecursors
TICAM1	OligoPrecursors
TMC6	OligoPrecursors
TMCO4	OligoPrecursors
TMEM132E	OligoPrecursors
TNFRSF11B	OligoPrecursors
TNR	OligoPrecursors
TRAF1	OligoPrecursors
TRAF4	OligoPrecursors
VCAN	OligoPrecursors
VIPR2	OligoPrecursors
VPS37B	OligoPrecursors
WIPF1	OligoPrecursors
ZEB1	OligoPrecursors
ZNF423	OligoPrecursors
ZNF521	OligoPrecursors
NAPB	Neuron
LIN7B	Neuron
ATP6V1G2	Neuron
NSF	Neuron
SYNGR3	Neuron
RAB3A	Neuron
GOT1	Neuron
FABP3	Neuron
DYNC1I1	Neuron
STMN2	Neuron
PACSIN1	Neuron
NAP1L2	Neuron
MYT1L	Neuron
CHGA	Neuron
PTPRN	Neuron
SERPINI1	Neuron
ENO2	Neuron
SCG2	Neuron
SLC4A10	Neuron
UCHL1	Neuron
STMN3	Neuron
CHGB	Neuron
ELAVL2	Neuron
STXBP1	Neuron
CAMK2B	Neuron
CYB561	Neuron
SYN2	Neuron
CELF4	Neuron
RBFOX1	Neuron
KIF5C	Neuron
NRIP3	Neuron
BCL11A	Neuron
CX3CL1	Neuron
SCN1A	Neuron
MAP1B	Neuron
BEX1	Neuron
ATP1B1	Neuron
VSNL1	Neuron
MEF2C	Neuron
ATP2B2	Neuron
NRSN1	Neuron
GABRA1	Neuron
SNAP25	Neuron
HMP19	Neuron
PNCK	Neuron
SYP	Neuron
GRIA1	Neuron
CPLX1	Neuron
CADPS	Neuron
RASGRF1	Neuron
HPCA	Neuron
GNG3	Neuron
ASNS	Neuron
CYFIP2	Neuron
OLFM1	Neuron
CACNB4	Neuron
KIAA1217	Neuron
INA	Neuron
VSTM2A	Neuron
PRKAR1B	Neuron
SYT4	Neuron
SLC6A17	Neuron
NDRG4	Neuron
SCG5	Neuron
GABRD	Neuron
GABRG2	Neuron
NEFL	Neuron
TUBB3	Neuron
CNTNAP2	Neuron
RAB3B	Neuron
ATP1A3	Neuron
NETO1	Neuron
THY1	Neuron
GAP43	Neuron
CCK	Neuron
SLC12A5	Neuron
SNCA	Neuron
SYT1	Neuron
RGS4	Neuron
