gene_id	cell_type
SLC35A1	vGLUT_depleted
SLC35F1	vGLUT_depleted
SLC35G2	vGLUT_depleted
SLC38A7	vGLUT_depleted
SLC39A10	vGLUT_depleted
SLC39A6	vGLUT_depleted
SLC4A10	vGLUT_depleted
SLC6A15	vGLUT_depleted
SLC6A9	vGLUT_depleted
SLCO3A1	vGLUT_depleted
SPCS1	vGLUT_depleted
SQLE	vGLUT_depleted
SRD5A3	vGLUT_depleted
SSTR2	vGLUT_depleted
SYNGR3	vGLUT_depleted
SYNPR	vGLUT_depleted
SYP	vGLUT_depleted
SYVN1	vGLUT_depleted
TECR	vGLUT_depleted
TM2D2	vGLUT_depleted
TM9SF2	vGLUT_depleted
TMCO1	vGLUT_depleted
TMED10	vGLUT_depleted
TMED5	vGLUT_depleted
TMEFF2	vGLUT_depleted
TMEM121	vGLUT_depleted
TMEM127	vGLUT_depleted
TMEM128	vGLUT_depleted
TMEM130	vGLUT_depleted
TMEM131	vGLUT_depleted
TMEM147	vGLUT_depleted
TMEM158	vGLUT_depleted
TMEM163	vGLUT_depleted
TMEM165	vGLUT_depleted
TMEM175	vGLUT_depleted
TMEM179	vGLUT_depleted
TMEM184C	vGLUT_depleted
TMEM19	vGLUT_depleted
TMEM246	vGLUT_depleted
TMEM255A	vGLUT_depleted
TMEM259	vGLUT_depleted
TMEM30A	vGLUT_depleted
TMEM38A	vGLUT_depleted
TMEM50A	vGLUT_depleted
TMEM63B	vGLUT_depleted
TMEM63C	vGLUT_depleted
TMEM97	vGLUT_depleted
TMEM9B	vGLUT_depleted
TMUB2	vGLUT_depleted
TMX2	vGLUT_depleted
TRAM1L1	vGLUT_depleted
TRPC5	vGLUT_depleted
TSPAN13	vGLUT_depleted
TSPAN2	vGLUT_depleted
TSPAN3	vGLUT_depleted
TSPAN31	vGLUT_depleted
TSPAN5	vGLUT_depleted
TTYH2	vGLUT_depleted
TUSC3	vGLUT_depleted
UBXN8	vGLUT_depleted
UGCG	vGLUT_depleted
UNC50	vGLUT_depleted
WLS	vGLUT_depleted
YIF1B	vGLUT_depleted
YIPF4	vGLUT_depleted
ZDHHC17	vGLUT_depleted
ZDHHC8	vGLUT_depleted
ZDHHC9	vGLUT_depleted
ACSL4	vGLUT_depleted
ALG2	vGLUT_depleted
ANKRD26	vGLUT_depleted
ARID4B	vGLUT_depleted
ARL8B	vGLUT_depleted
ASIC2	vGLUT_depleted
ATAD1	vGLUT_depleted
ATP6V1D	vGLUT_depleted
ATP6V1E1	vGLUT_depleted
ATP6V1H	vGLUT_depleted
ATRX	vGLUT_depleted
BCAS1	vGLUT_depleted
BCLAF1	vGLUT_depleted
BEX1	vGLUT_depleted
CACNB4	vGLUT_depleted
CALB1	vGLUT_depleted
CAP2	vGLUT_depleted
CA10	vGLUT_depleted
CCDC88A	vGLUT_depleted
CCNH	vGLUT_depleted
CCPG1	vGLUT_depleted
CCSAP	vGLUT_depleted
CDH13	vGLUT_depleted
CELF4	vGLUT_depleted
CHM	vGLUT_depleted
CMIP	vGLUT_depleted
CTR9	vGLUT_depleted
CTSB	vGLUT_depleted
CTSS	vGLUT_depleted
CUL2	vGLUT_depleted
CUL4B	vGLUT_depleted
DDX3Y	vGLUT_depleted
DDX5	vGLUT_depleted
DHX36	vGLUT_depleted
DNAJA1	vGLUT_depleted
DNAJC8	vGLUT_depleted
DNM1L	vGLUT_depleted
DNTTIP2	vGLUT_depleted
DZIP3	vGLUT_depleted
EBAG9	vGLUT_depleted
EEA1	vGLUT_depleted
EGR1	vGLUT_depleted
EIF5B	vGLUT_depleted
ELAVL4	vGLUT_depleted
ELMOD1	vGLUT_depleted
EMC4	vGLUT_depleted
ERMN	vGLUT_depleted
F5	vGLUT_depleted
FAM19A1	vGLUT_depleted
FBXL2	vGLUT_depleted
FCHO2	vGLUT_depleted
FGF12	vGLUT_depleted
FSTL5	vGLUT_depleted
GAD2	vGLUT_depleted
GCC2	vGLUT_depleted
GDE1	vGLUT_depleted
GGNBP2	vGLUT_depleted
HERPUD1	vGLUT_depleted
HEXA	vGLUT_depleted
HIPK2	vGLUT_depleted
HSP90AA1	vGLUT_depleted
HSPA8	vGLUT_depleted
HSPH1	vGLUT_depleted
IDH3A	vGLUT_depleted
IER3IP1	vGLUT_depleted
IFT74	vGLUT_depleted
IGF2	vGLUT_depleted
IK	vGLUT_depleted
INPP5F	vGLUT_depleted
ITGA4	vGLUT_depleted
JAGN1	vGLUT_depleted
KCNAB1	vGLUT_depleted
KCNIP4	vGLUT_depleted
KCTD4	vGLUT_depleted
KIF3A	vGLUT_depleted
KIFAP3	vGLUT_depleted
LIN7A	vGLUT_depleted
LRCH2	vGLUT_depleted
MANEAL	vGLUT_depleted
MAP7D2	vGLUT_depleted
MATR3	vGLUT_depleted
MBNL2	vGLUT_depleted
MDH1	vGLUT_depleted
MEF2A	vGLUT_depleted
MEF2C	vGLUT_depleted
MESDC2	vGLUT_depleted
MICU3	vGLUT_depleted
MMP17	vGLUT_depleted
MOBP	vGLUT_depleted
MPHOSPH8	vGLUT_depleted
MPP5	vGLUT_depleted
NAE1	vGLUT_depleted
NAP1L1	vGLUT_depleted
NAP1L2	vGLUT_depleted
NAP1L3	vGLUT_depleted
NAP1L5	vGLUT_depleted
NDN	vGLUT_depleted
NECAB1	vGLUT_depleted
NEMF	vGLUT_depleted
NEUROD6	vGLUT_depleted
NFIA	vGLUT_depleted
NFIC	vGLUT_depleted
NKRF	vGLUT_depleted
NOVA1	vGLUT_depleted
NTM	vGLUT_depleted
OCIAD1	vGLUT_depleted
OGFRL1	vGLUT_depleted
OLA1	vGLUT_depleted
OLFM1	vGLUT_depleted
OLFM3	vGLUT_depleted
OLFML3	vGLUT_depleted
OXSR1	vGLUT_depleted
PAK1IP1	vGLUT_depleted
PALM2	vGLUT_depleted
PCM1	vGLUT_depleted
PCP4	vGLUT_depleted
PDE1A	vGLUT_depleted
PDS5B	vGLUT_depleted
PEX14	vGLUT_depleted
PHYHIPL	vGLUT_depleted
PLBD2	vGLUT_depleted
PLCB4	vGLUT_depleted
PLK2	vGLUT_depleted
PLS3	vGLUT_depleted
PPID	vGLUT_depleted
PPP1R12A	vGLUT_depleted
PPP2R2A	vGLUT_depleted
PPP3CA	vGLUT_depleted
PPP3R1	vGLUT_depleted
PRR18	vGLUT_depleted
PRUNE2	vGLUT_depleted
PSIP1	vGLUT_depleted
PSMA4	vGLUT_depleted
PTPRN2	vGLUT_depleted
RAB11FIP2	vGLUT_depleted
RAB3A	vGLUT_depleted
RAB6A	vGLUT_depleted
RAD23B	vGLUT_depleted
RASGRP1	vGLUT_depleted
RB1CC1	vGLUT_depleted
RBFOX1	vGLUT_depleted
RBM26	vGLUT_depleted
REEP2	vGLUT_depleted
RGS17	vGLUT_depleted
RGS2	vGLUT_depleted
RGS4	vGLUT_depleted
RGS7BP	vGLUT_depleted
RNF24	vGLUT_depleted
ROCK2	vGLUT_depleted
RTN4RL2	vGLUT_depleted
RUFY3	vGLUT_depleted
SCOC	vGLUT_depleted
SEPT7	vGLUT_depleted
SGIP1	vGLUT_depleted
SH3BGRL3	vGLUT_depleted
SHISA9	vGLUT_depleted
SLC25A14	vGLUT_depleted
SMAP1	vGLUT_depleted
SMARCA5	vGLUT_depleted
SMC1A	vGLUT_depleted
SMC3	vGLUT_depleted
SNAP25	vGLUT_depleted
SNX10	vGLUT_depleted
SNX14	vGLUT_depleted
SNX16	vGLUT_depleted
SRR	vGLUT_depleted
SSB	vGLUT_depleted
ST3GAL5	vGLUT_depleted
ST8SIA4	vGLUT_depleted
STIM2	vGLUT_depleted
STIP1	vGLUT_depleted
STMN2	vGLUT_depleted
STMN3	vGLUT_depleted
STMN4	vGLUT_depleted
TAX1BP1	vGLUT_depleted
THY1	vGLUT_depleted
TMEM151A	vGLUT_depleted
TMEM189	vGLUT_depleted
TMF1	vGLUT_depleted
TOP1	vGLUT_depleted
TPR	vGLUT_depleted
TRIP11	vGLUT_depleted
TSG101	vGLUT_depleted
TXNDC16	vGLUT_depleted
UBC	vGLUT_depleted
UBLCP1	vGLUT_depleted
UBQLN2	vGLUT_depleted
UBXN4	vGLUT_depleted
UCHL1	vGLUT_depleted
USP14	vGLUT_depleted
VSNL1	vGLUT_depleted
WASF1	vGLUT_depleted
YTHDC1	vGLUT_depleted
YWHAB	vGLUT_depleted
YWHAH	vGLUT_depleted
YWHAZ	vGLUT_depleted
ZEB2	vGLUT_depleted
ZNF260	vGLUT_depleted
ZSCAN26	vGLUT_depleted
ACHE	vGLUT_depleted
ADAM23	vGLUT_depleted
ADCYAP1	vGLUT_depleted
AEBP1	vGLUT_depleted
APOD	vGLUT_depleted
ARSA	vGLUT_depleted
ARSB	vGLUT_depleted
BRINP1	vGLUT_depleted
C1QA	vGLUT_depleted
C1QB	vGLUT_depleted
C1QTNF4	vGLUT_depleted
CACNA2D1	vGLUT_depleted
CACNA2D3	vGLUT_depleted
CALR	vGLUT_depleted
CBLN2	vGLUT_depleted
CCDC47	vGLUT_depleted
CFH	vGLUT_depleted
CHGA	vGLUT_depleted
CHGB	vGLUT_depleted
CNPY2	vGLUT_depleted
CNTN1	vGLUT_depleted
CNTN4	vGLUT_depleted
CNTN6	vGLUT_depleted
COCH	vGLUT_depleted
CPM	vGLUT_depleted
CREG2	vGLUT_depleted
CRHBP	vGLUT_depleted
CRTAC1	vGLUT_depleted
CTSA	vGLUT_depleted
CTSV	vGLUT_depleted
CYP46A1	vGLUT_depleted
DCN	vGLUT_depleted
DKK3	vGLUT_depleted
EDIL3	vGLUT_depleted
ENPP6	vGLUT_depleted
EPDR1	vGLUT_depleted
ERLEC1	vGLUT_depleted
ERP44	vGLUT_depleted
FAM134A	vGLUT_depleted
FMOD	vGLUT_depleted
GRN	vGLUT_depleted
HS3ST1	vGLUT_depleted
HSP90B1	vGLUT_depleted
HSPA5	vGLUT_depleted
IGFBP4	vGLUT_depleted
IL34	vGLUT_depleted
LGI1	vGLUT_depleted
LGI3	vGLUT_depleted
LGMN	vGLUT_depleted
LPL	vGLUT_depleted
LRPAP1	vGLUT_depleted
LY6H	vGLUT_depleted
MANF	vGLUT_depleted
MCFD2	vGLUT_depleted
MINPP1	vGLUT_depleted
NCAM1	vGLUT_depleted
NEGR1	vGLUT_depleted
NELL2	vGLUT_depleted
NETO1	vGLUT_depleted
NOV	vGLUT_depleted
NPTX2	vGLUT_depleted
NRN1	vGLUT_depleted
NUCB1	vGLUT_depleted
NUCB2	vGLUT_depleted
NXPH3	vGLUT_depleted
OLFM2	vGLUT_depleted
PCSK1	vGLUT_depleted
PCSK2	vGLUT_depleted
PCYOX1	vGLUT_depleted
PDIA3	vGLUT_depleted
PENK	vGLUT_depleted
PIGK	vGLUT_depleted
PLAT	vGLUT_depleted
PPT1	vGLUT_depleted
PRKCSH	vGLUT_depleted
PSAP	vGLUT_depleted
PTGDS	vGLUT_depleted
PTGS2	vGLUT_depleted
RESP18	vGLUT_depleted
RGMB	vGLUT_depleted
RTN4R	vGLUT_depleted
SCG5	vGLUT_depleted
SEMA3A	vGLUT_depleted
SEMA3C	vGLUT_depleted
SEMA3E	vGLUT_depleted
SERPINI1	vGLUT_depleted
SPARCL1	vGLUT_depleted
SPOCK1	vGLUT_depleted
SPOCK2	vGLUT_depleted
SST	vGLUT_depleted
SULF1	vGLUT_depleted
TAC1	vGLUT_depleted
TIMP2	vGLUT_depleted
TTC13	vGLUT_depleted
TTR	vGLUT_depleted
TXNDC12	vGLUT_depleted
VCAN	vGLUT_depleted
VGF	vGLUT_depleted
VIP	vGLUT_depleted
VSTM2A	vGLUT_depleted
VSTM2L	vGLUT_depleted
VTN	vGLUT_depleted
ALCAM	vGLUT_depleted
APP	vGLUT_depleted
ATP6AP2	vGLUT_depleted
B2M	vGLUT_depleted
B4GALNT1	vGLUT_depleted
BSG	vGLUT_depleted
CADM2	vGLUT_depleted
CADM3	vGLUT_depleted
CANX	vGLUT_depleted
CCK	vGLUT_depleted
CD164	vGLUT_depleted
CD34	vGLUT_depleted
CDH10	vGLUT_depleted
CDH11	vGLUT_depleted
CDH2	vGLUT_depleted
CDH7	vGLUT_depleted
CHST1	vGLUT_depleted
CNTNAP2	vGLUT_depleted
CTSD	vGLUT_depleted
DLK1	vGLUT_depleted
DNAJB11	vGLUT_depleted
DNAJB9	vGLUT_depleted
DNER	vGLUT_depleted
ELFN1	vGLUT_depleted
EMB	vGLUT_depleted
EMC10	vGLUT_depleted
ENPP4	vGLUT_depleted
ENPP5	vGLUT_depleted
EPHA4	vGLUT_depleted
EPHA7	vGLUT_depleted
ERP29	vGLUT_depleted
FAM171B	vGLUT_depleted
FAM174B	vGLUT_depleted
FLRT2	vGLUT_depleted
FLRT3	vGLUT_depleted
GLG1	vGLUT_depleted
HEXB	vGLUT_depleted
HS6ST2	vGLUT_depleted
HSPA13	vGLUT_depleted
IFNGR2	vGLUT_depleted
IGSF8	vGLUT_depleted
ISLR2	vGLUT_depleted
JAM3	vGLUT_depleted
L1CAM	vGLUT_depleted
LAMP1	vGLUT_depleted
LAMP2	vGLUT_depleted
LAMP5	vGLUT_depleted
LINGO1	vGLUT_depleted
LRRC24	vGLUT_depleted
LRRC4B	vGLUT_depleted
LRRN1	vGLUT_depleted
LRRN2	vGLUT_depleted
LRRN3	vGLUT_depleted
LRRTM2	vGLUT_depleted
LRRTM3	vGLUT_depleted
LY6E	vGLUT_depleted
M6PR	vGLUT_depleted
MAG	vGLUT_depleted
MANSC1	vGLUT_depleted
MEGF11	vGLUT_depleted
NCAM2	vGLUT_depleted
NETO2	vGLUT_depleted
NPDC1	vGLUT_depleted
NPY	vGLUT_depleted
NRCAM	vGLUT_depleted
OMG	vGLUT_depleted
OS9	vGLUT_depleted
OSTM1	vGLUT_depleted
PARM1	vGLUT_depleted
PCDHGA5	vGLUT_depleted
PDIA6	vGLUT_depleted
PIANP	vGLUT_depleted
PTPRO	vGLUT_depleted
RNASE4	vGLUT_depleted
RPN1	vGLUT_depleted
SCG2	vGLUT_depleted
SCN1B	vGLUT_depleted
SDF2	vGLUT_depleted
SEZ6L2	vGLUT_depleted
SIRPA	vGLUT_depleted
SLITRK1	vGLUT_depleted
SLITRK2	vGLUT_depleted
SLITRK4	vGLUT_depleted
SLITRK5	vGLUT_depleted
SPOCK3	vGLUT_depleted
SSR2	vGLUT_depleted
SSR4	vGLUT_depleted
SULF2	vGLUT_depleted
TMED4	vGLUT_depleted
TMEM132A	vGLUT_depleted
TMEM59	vGLUT_depleted
TMEM59L	vGLUT_depleted
TMEM9	vGLUT_depleted
TMX3	vGLUT_depleted
TXNDC15	vGLUT_depleted
VSTM2B	vGLUT_depleted
ABHD12	vGLUT_depleted
ABHD6	vGLUT_depleted
ACP2	vGLUT_depleted
ACSL3	vGLUT_depleted
ACSL5	vGLUT_depleted
ALG11	vGLUT_depleted
APLP1	vGLUT_depleted
ARL10	vGLUT_depleted
ATP1B1	vGLUT_depleted
B3GALNT1	vGLUT_depleted
B3GALT1	vGLUT_depleted
B3GALT2	vGLUT_depleted
B4GALT3	vGLUT_depleted
B4GALT6	vGLUT_depleted
BDNF	vGLUT_depleted
C1GALT1C1	vGLUT_depleted
CADM1	vGLUT_depleted
CALY	vGLUT_depleted
CASC4	vGLUT_depleted
CD200	vGLUT_depleted
CDH6	vGLUT_depleted
CDH8	vGLUT_depleted
CGRRF1	vGLUT_depleted
CHL1	vGLUT_depleted
CHST12	vGLUT_depleted
CISD1	vGLUT_depleted
CISD2	vGLUT_depleted
COMT	vGLUT_depleted
DGAT2	vGLUT_depleted
DNAJC10	vGLUT_depleted
DPP10	vGLUT_depleted
DPP6	vGLUT_depleted
EFNB3	vGLUT_depleted
EMC7	vGLUT_depleted
ENPP2	vGLUT_depleted
ERLIN1	vGLUT_depleted
EXTL2	vGLUT_depleted
FUT9	vGLUT_depleted
GAA	vGLUT_depleted
GAL3ST3	vGLUT_depleted
GALNT13	vGLUT_depleted
GGT7	vGLUT_depleted
GLT8D1	vGLUT_depleted
HSD17B12	vGLUT_depleted
HSPA4L	vGLUT_depleted
ITM2A	vGLUT_depleted
ITM2B	vGLUT_depleted
ITM2C	vGLUT_depleted
LPCAT4	vGLUT_depleted
LRP11	vGLUT_depleted
MANEA	vGLUT_depleted
MTDH	vGLUT_depleted
NAT14	vGLUT_depleted
NCEH1	vGLUT_depleted
NCSTN	vGLUT_depleted
NDUFA4	vGLUT_depleted
NSG1	vGLUT_depleted
HMP19	vGLUT_depleted
PLD3	vGLUT_depleted
PMEPA1	vGLUT_depleted
PODXL2	vGLUT_depleted
PTN	vGLUT_depleted
PTPRN	vGLUT_depleted
QPCT	vGLUT_depleted
QPCTL	vGLUT_depleted
RDH14	vGLUT_depleted
RNF13	vGLUT_depleted
ROBO2	vGLUT_depleted
SCCPDH	vGLUT_depleted
SDC2	vGLUT_depleted
SEC11C	vGLUT_depleted
SEZ6	vGLUT_depleted
SGCB	vGLUT_depleted
SGCE	vGLUT_depleted
SHISA5	vGLUT_depleted
SMIM19	vGLUT_depleted
SMPD1	vGLUT_depleted
ST8SIA3	vGLUT_depleted
SYT1	vGLUT_depleted
SYT11	vGLUT_depleted
SYT3	vGLUT_depleted
SYT4	vGLUT_depleted
SYT5	vGLUT_depleted
TEX264	vGLUT_depleted
THEM6	vGLUT_depleted
TM2D3	vGLUT_depleted
TMEM106B	vGLUT_depleted
TMEM108	vGLUT_depleted
TMEM68	vGLUT_depleted
VOPP1	vGLUT_depleted
WBSCR17	vGLUT_depleted
YIPF5	vGLUT_depleted
YME1L1	vGLUT_depleted
C14orf1	vGLUT_depleted
C3orf58	vGLUT_depleted
C14orf37	vGLUT_depleted
C5orf15	vGLUT_depleted
KIAA1107	vGLUT_depleted
C11orf87	vGLUT_depleted
C1orf27	vGLUT_depleted
C6orf89	vGLUT_depleted
C16orf52	vGLUT_depleted
CTAGE5	vGLUT_depleted
CTGF	vGLUT_depleted
ERO1L	vGLUT_depleted
FAM105A	vGLUT_depleted
FAM134B	vGLUT_depleted
FAM69A	vGLUT_depleted
HGSNAT	vGLUT_depleted
KITLG	vGLUT_depleted
LHFPL3	vGLUT_depleted
LRRTM1	vGLUT_depleted
NT5C3A	vGLUT_depleted
PRRC2C	vGLUT_depleted
SCN2A	vGLUT_depleted
SEP15	vGLUT_depleted
TMEM35	vGLUT_depleted
TMEM57	vGLUT_depleted
TOMM70A	vGLUT_depleted
TF	vGLUT_depleted
TP53I11	vGLUT_depleted
UGT8	vGLUT_depleted
VIMP	vGLUT_depleted
WBP5	vGLUT_depleted
ZNF729	vGLUT_depleted
